date,experiment,model,epochs,learning_rate,weight_decay,momentum,batch,optimizer,training_sample,validation_sample,testing_sample,training_avg_loss,training_last_loss,training_avg_dice,training_last_dice,training_avg_iou,training_last_iou,training_avg_f1,training_avg_precision,training_avg_recall,validation_avg_loss,validation_last_loss,validation_avg_dice,validation_last_dice,validation_avg_iou,validation_last_iou,validation_avg_f1,validation_avg_precision,validation_avg_recall
2022-06-26,DiceLossTest_0,UnetDeep3,10,0.001,0.01,0.9,1,SGD,120,60,20,0.937375558167696,0.9273466885089874,0.2465806919072219,0.2974247239086084,0.14877795620471496,0.18395862149732556,0.8430407297611235,0.9921787658333777,0.8430407298604647,1.0,1.0,0.0,0.0,0.0,0.0,0.8467964744567871,1.0,0.8467964762449263
2022-06-26,DiceLossTest_0,UnetDeep3,10,0.001,0.01,0.9,1,SGD,120,60,20,0.9453844939668974,0.9425855964422226,0.24937047464801823,0.2862337294013001,0.15189630812610844,0.17531353247157017,0.902293759038051,0.9908829693992933,0.9022937580943108,1.0,1.0,0.0,0.0,0.0,0.0,0.9251748856902123,1.0,0.9251748853921888
2022-06-26,DiceLossTest_1,UnetDeep3,10,0.001,0.1,0.9,1,SGD,120,60,20,0.9819600889086724,0.9830098311106364,0.07157098390784677,0.048987263088049585,0.038201952621687296,0.02534151073141825,0.17881131706499825,0.26463053407276094,0.17881131761205324,1.0,1.0,0.0,0.0,0.0,0.0,0.19917689770460129,0.2,0.19917689770460129
2022-06-26,DiceLossTest_2,UnetDeep3,10,0.001,0.01,0.9,1,SGD,120,60,20,0.9703091710309188,0.9678801427284877,0.12100495214839357,0.12982518505305052,0.06600503694336471,0.07108911773633905,0.6522071475783984,0.9915232117474078,0.6522071473300457,1.0,1.0,0.0,0.0,0.0,0.0,0.7566389310359954,1.0,0.7566389319300652
2022-06-26,DiceLossTest_0,UnetDeep3,15,0.001,0.01,0.9,1,SGD,120,60,20,0.9728589320845075,0.982985353966554,0.11869506076313428,0.048987263088049585,0.06714583249982936,0.02534151073141825,0.6777041819333196,0.7921948081071165,0.6777041811469988,1.0,1.0,0.0,0.0,0.0,0.0,0.5542748198409876,0.7333333333333333,0.5542748190462591
2022-06-26,DiceLossTest_1,UnetDeep3,15,0.001,0.1,0.9,1,SGD,120,60,20,0.9823597774240705,0.9830082381765047,0.06785812375041865,0.048987263088049585,0.03620174955576659,0.02534151073141825,0.14280095198612083,0.18690099505891997,0.14280095165576012,1.0,1.0,0.0,0.0,0.0,0.0,0.0787180452545484,0.13333333333333333,0.0787180456519127
2022-06-26,DiceLossTest_2,UnetDeep3,15,0.001,0.01,0.9,1,SGD,120,60,20,0.9586833396553993,0.9474077726403872,0.15067574408179682,0.19336911633632384,0.08408727183538243,0.11083613872815054,0.7099792281124326,0.9920172968837949,0.7099792280130915,1.0,1.0,0.0,0.0,0.0,0.0,0.8180355149507522,1.0,0.8180355147520703
2022-06-26,DiceLossTest_3,UnetDeep3,15,0.001,0.01,0.9,1,SGD,120,60,20,0.9792001202702522,0.9774748956163725,0.060524126246676226,0.06937720070235691,0.03156942177885176,0.036409558000741526,0.2236159386154678,0.9911582297417854,0.22361593855751888,1.0,1.0,0.0,0.0,0.0,0.0,0.17571561420957246,1.0,0.17571561428407828
2022-06-26,DiceLossTest_4,UnetDeep3,15,0.001,0.01,0.9,1,SGD,120,60,20,0.980238256322013,0.9795138915379842,0.06863728488376726,0.0747950382471128,0.03594333991487764,0.039332092215095885,0.5591502919793129,0.9879795156584845,0.5591502909859022,1.0,1.0,0.0,0.0,0.0,0.0,0.5091220237811407,1.0,0.5091220237811407
2022-06-26,DiceLossTest_LR3_0,UnetDeep3,20,0.01,0.01,0.9,1,SGD,120,60,20,0.3445094410826762,0.2820703958471616,0.6554905586752362,0.7179296047116319,0.5431842004289984,0.6035940712744681,0.9801084016015134,0.9916846296687922,0.9801084012041489,0.9996396212279797,0.9995037198066712,0.0003603781877711754,0.0004962788843840826,0.00018025208013000338,0.00024821628503559625,0.997081477046013,0.9996571014821528,0.9970814788341522
2022-06-26,DiceLossTest_LR3_1,UnetDeep3,20,0.001,0.01,0.9,1,SGD,120,60,20,0.5718127840509017,0.20836277157068253,0.428187215563931,0.7916372277617029,0.33693791395594186,0.6917197514563517,0.9322349162151415,0.9850291879226762,0.9322349158674477,0.9995774583518504,0.9997703552246093,0.00042254192473137667,0.00022965182542975527,0.00021142163385547973,0.00011484407150419429,0.9678668610751631,0.9996523179113863,0.9678668662905695
2022-06-26,DiceLossTest_LR3_2,UnetDeep3,20,0.0001,0.01,0.9,1,SGD,120,60,20,0.9160711849977574,0.8926540310184161,0.08392881549400348,0.10734596988816823,0.044657703285665776,0.057941806512887224,0.8453309355924528,0.9712365280091764,0.8453309338539838,0.9994699691236019,0.9996373951435089,0.000530030442159841,0.00036260271535866196,0.00026530023948680533,0.00018144397313335503,0.9259785547852515,0.9996447415649892,0.9259785622358321
2022-06-26,DiceLossTest_LR3_3,UnetDeep3,20,1e-05,0.01,0.9,1,SGD,120,60,20,0.9550268510232369,0.9475752035776774,0.04497314881652528,0.052424793760898564,0.02322094339838713,0.027202311029759584,0.9187820700804392,0.9565871938814722,0.9187820684164762,0.9989569842815399,0.9990787535905838,0.0010430147516308354,0.0009212387802108423,0.0005223061814467655,0.0004612551752870786,0.9463309149444102,0.9996547996997835,0.9463309210538864
